api_name op_name file_path
tf.raw_ops.DataFormatDimMap DataFormatDimMapOp /home/sjy/code/tensorflow/tensorflow/core/kernels/data_format_ops.cc
tf.raw_ops.DataFormatVecPermute DataFormatVecPermuteOp /home/sjy/code/tensorflow/tensorflow/core/kernels/data_format_ops.cc
tf.raw_ops.DatasetFromGraph DatasetFromGraphOp /home/sjy/code/tensorflow/tensorflow/core/kernels/data/dataset_ops.cc
tf.raw_ops.Dawsn UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.DebugGradientIdentity IdentityOp /home/sjy/code/tensorflow/tensorflow/core/kernels/identity_op.cc
tf.raw_ops.DebugGradientRefIdentity IdentityOp /home/sjy/code/tensorflow/tensorflow/core/kernels/identity_op.cc
tf.raw_ops.DebugIdentity DebugIdentityOp /home/sjy/code/tensorflow/tensorflow/core/kernels/debug_ops.cc
tf.raw_ops.DebugIdentityV2 DebugIdentityV2Op /home/sjy/code/tensorflow/tensorflow/core/kernels/debug_ops.cc
tf.raw_ops.DebugNanCount DebugNanCountOp /home/sjy/code/tensorflow/tensorflow/core/kernels/debug_ops.cc
tf.raw_ops.DebugNumericSummary DebugNumericSummaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/debug_ops.cc
tf.raw_ops.DebugNumericSummaryV2 DebugNumericSummaryV2Op /home/sjy/code/tensorflow/tensorflow/core/kernels/debug_ops.cc
tf.raw_ops.DecodeAndCropJpeg DecodeImageV2Op /home/sjy/code/tensorflow/tensorflow/core/kernels/image/decode_image_op.cc
tf.raw_ops.DecodeBase64 DecodeBase64Op /home/sjy/code/tensorflow/tensorflow/core/kernels/base64_ops.cc
tf.raw_ops.DecodeBmp DecodeImageV2Op /home/sjy/code/tensorflow/tensorflow/core/kernels/image/decode_image_op.cc
tf.raw_ops.DecodeCompressed DecodeCompressedOp /home/sjy/code/tensorflow/tensorflow/core/kernels/decode_compressed_op.cc
tf.raw_ops.DecodeGif DecodeImageV2Op /home/sjy/code/tensorflow/tensorflow/core/kernels/image/decode_image_op.cc
tf.raw_ops.DecodeImage DecodeImageV2Op /home/sjy/code/tensorflow/tensorflow/core/kernels/image/decode_image_op.cc
tf.raw_ops.DecodeJSONExample DecodeJSONExampleOp /home/sjy/code/tensorflow/tensorflow/core/kernels/example_parsing_ops.cc
tf.raw_ops.DecodeJpeg DecodeImageV2Op /home/sjy/code/tensorflow/tensorflow/core/kernels/image/decode_image_op.cc
tf.raw_ops.DecodePaddedRaw DecodePaddedRawOp /home/sjy/code/tensorflow/tensorflow/core/kernels/decode_padded_raw_op.cc
tf.raw_ops.DecodePng DecodeImageV2Op /home/sjy/code/tensorflow/tensorflow/core/kernels/image/decode_image_op.cc
tf.raw_ops.DecodeProtoV2 DecodeProtoOp /home/sjy/code/tensorflow/tensorflow/core/kernels/decode_proto_op.cc
tf.raw_ops.DecodeRaw DecodeRawOp /home/sjy/code/tensorflow/tensorflow/core/kernels/decode_raw_op.cc
tf.raw_ops.DecodeWav DecodeWavOp /home/sjy/code/tensorflow/tensorflow/core/kernels/decode_wav_op.cc
tf.raw_ops.DeepCopy CopyOp /home/sjy/code/tensorflow/tensorflow/core/kernels/debug_ops.cc
tf.raw_ops.DeleteSessionTensor DeleteSessionTensorOp /home/sjy/code/tensorflow/tensorflow/core/kernels/session_ops.cc
tf.raw_ops.DenseBincount DenseBincountOp /home/sjy/code/tensorflow/tensorflow/core/kernels/bincount_op.cc
tf.raw_ops.DenseCountSparseOutput DenseCount /home/sjy/code/tensorflow/tensorflow/core/kernels/count_ops.cc
tf.raw_ops.DenseToCSRSparseMatrix DenseToCSRSparseMatrixCPUOp /home/sjy/code/tensorflow/tensorflow/core/kernels/sparse/dense_to_csr_sparse_matrix_op.cc
tf.raw_ops.DenseToDenseSetOperation DenseToDenseSetOperationOp /home/sjy/code/tensorflow/tensorflow/core/kernels/set_kernels.cc
tf.raw_ops.DenseToSparseSetOperation DenseToSparseSetOperationOp /home/sjy/code/tensorflow/tensorflow/core/kernels/set_kernels.cc
tf.raw_ops.DepthToSpace DepthToSpaceOp /home/sjy/code/tensorflow/tensorflow/core/kernels/depthtospace_op.cc
tf.raw_ops.DepthwiseConv2dNative DepthwiseConv2dNativeOp /home/sjy/code/tensorflow/tensorflow/core/kernels/depthwise_conv_op.cc
tf.raw_ops.DepthwiseConv2dNativeBackpropFilter DepthwiseConv2dNativeBackpropFilterOp /home/sjy/code/tensorflow/tensorflow/core/kernels/depthwise_conv_grad_op.cc
tf.raw_ops.DepthwiseConv2dNativeBackpropInput DepthwiseConv2dNativeBackpropInputOp /home/sjy/code/tensorflow/tensorflow/core/kernels/depthwise_conv_grad_op.cc
tf.raw_ops.Dequantize DequantizeOp /home/sjy/code/tensorflow/tensorflow/core/kernels/dequantize_op.cc
tf.raw_ops.DeserializeManySparse DeserializeSparseOp /home/sjy/code/tensorflow/tensorflow/core/kernels/deserialize_sparse_string_op.cc
tf.raw_ops.DestroyTemporaryVariable DestroyTemporaryVariableOp /home/sjy/code/tensorflow/tensorflow/core/kernels/variable_ops.cc
tf.raw_ops.DeviceIndex DeviceIndexOp /home/sjy/code/tensorflow/tensorflow/core/kernels/functional_ops.cc
tf.raw_ops.Diag DiagOp /home/sjy/code/tensorflow/tensorflow/core/kernels/diag_op.cc
tf.raw_ops.DiagPart DiagPartOp /home/sjy/code/tensorflow/tensorflow/core/kernels/diag_op.cc
tf.raw_ops.Digamma UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.Dilation2D DilationOp /home/sjy/code/tensorflow/tensorflow/core/kernels/dilation_ops.cc
tf.raw_ops.Dilation2DBackpropFilter DilationBackpropFilterOp /home/sjy/code/tensorflow/tensorflow/core/kernels/dilation_ops.cc
tf.raw_ops.Dilation2DBackpropInput DilationBackpropInputOp /home/sjy/code/tensorflow/tensorflow/core/kernels/dilation_ops.cc
